easting0 [km], northing0 [km], easting1 [km], northing1 [km]
2.6094992e+02, 6.0155264e+02, 2.6596304e+02, 5.9141046e+02
2.4581166e+02, 6.0273509e+02, 2.4644218e+02, 6.0515539e+02
2.5694356e+02, 5.8964275e+02, 2.5756462e+02, 5.8596713e+02
2.3480327e+02, 6.0118621e+02, 2.3502056e+02, 5.9806415e+02
2.3559682e+02, 5.9095111e+02, 2.3853263e+02, 5.9002143e+02
2.5840785e+02, 5.8095223e+02, 2.5926733e+02, 5.7882498e+02
2.5157120e+02, 5.8940508e+02, 2.5172591e+02, 5.8711523e+02
2.4260001e+02, 5.9571588e+02, 2.4364607e+02, 5.9334849e+02
2.5070554e+02, 5.8296269e+02, 2.5616117e+02, 5.8136133e+02
2.5436234e+02, 5.7426840e+02, 2.5826990e+02, 5.7308484e+02
2.3277153e+02, 6.0766747e+02, 2.3495364e+02, 6.0201014e+02
2.3604404e+02, 6.1511920e+02, 2.4080926e+02, 6.0498410e+02
2.3274137e+02, 5.9820768e+02, 2.3396968e+02, 5.9489499e+02
2.6503932e+02, 5.7439969e+02, 2.6811901e+02, 5.7408260e+02
2.4598876e+02, 5.8338569e+02, 2.5057728e+02, 5.8307485e+02
2.3171204e+02, 5.7194194e+02, 2.3842546e+02, 5.7172447e+02
2.5281888e+02, 5.8988411e+02, 2.5588957e+02, 5.8208073e+02
2.5776884e+02, 6.0672791e+02, 2.6154125e+02, 6.0740078e+02
2.6416849e+02, 5.9207121e+02, 2.6761155e+02, 5.9096454e+02
2.3762620e+02, 5.8031440e+02, 2.4016874e+02, 5.8070331e+02
2.3619442e+02, 5.8058178e+02, 2.3610164e+02, 5.7819888e+02
2.5732108e+02, 5.8757768e+02, 2.5858207e+02, 5.8120120e+02
2.6467336e+02, 5.6968794e+02, 2.6830241e+02, 5.6812546e+02
2.5143776e+02, 5.9626029e+02, 2.5290981e+02, 5.9262966e+02
2.5826331e+02, 6.0693251e+02, 2.5985534e+02, 6.0876612e+02
2.3907833e+02, 5.7023666e+02, 2.4142672e+02, 5.6979038e+02
2.3810044e+02, 5.8712391e+02, 2.4086700e+02, 5.8716004e+02
2.4550833e+02, 5.9230239e+02, 2.4770380e+02, 5.9013276e+02
2.3192667e+02, 5.8421616e+02, 2.3636105e+02, 5.8567608e+02
2.6400083e+02, 5.9212944e+02, 2.6646987e+02, 5.8878592e+02
2.6008827e+02, 6.1197652e+02, 2.6131368e+02, 6.1009837e+02
2.4949701e+02, 5.9132123e+02, 2.5088965e+02, 5.7962894e+02
2.3227004e+02, 6.0295821e+02, 2.3379211e+02, 6.0123485e+02
2.3325260e+02, 6.0352163e+02, 2.3413994e+02, 5.9888882e+02
2.4534548e+02, 5.8020117e+02, 2.4765698e+02, 5.7991546e+02
2.5150603e+02, 5.8273868e+02, 2.5482193e+02, 5.8169221e+02
2.4966301e+02, 5.8966718e+02, 2.5235135e+02, 5.8940362e+02
2.4607131e+02, 6.0818930e+02, 2.5147872e+02, 6.0370122e+02
2.6591037e+02, 5.7902816e+02, 2.6787824e+02, 5.7850567e+02
2.6653084e+02, 5.8114661e+02, 2.6862180e+02, 5.7720719e+02
2.4862169e+02, 5.9733881e+02, 2.5242905e+02, 5.9772823e+02
2.6185063e+02, 5.7384249e+02, 2.6336678e+02, 5.7151803e+02
2.3953530e+02, 5.8948265e+02, 2.4439146e+02, 5.8329491e+02
2.3830521e+02, 5.7022736e+02, 2.4437356e+02, 5.7161192e+02
2.6278906e+02, 5.7062038e+02, 2.6280522e+02, 5.6732743e+02
2.5364069e+02, 5.6894614e+02, 2.5416606e+02, 5.7150185e+02
2.3796417e+02, 5.7880458e+02, 2.3998242e+02, 5.7870682e+02
2.4828933e+02, 5.7036840e+02, 2.4951933e+02, 5.7319343e+02
2.4306116e+02, 5.8743927e+02, 2.4690842e+02, 5.8753934e+02
2.5788010e+02, 5.7324657e+02, 2.5792014e+02, 5.7044829e+02
2.4433683e+02, 6.0737755e+02, 2.4603761e+02, 6.0427548e+02
2.5770621e+02, 5.7875498e+02, 2.5971246e+02, 5.7874109e+02
2.5463338e+02, 5.8889617e+02, 2.5502648e+02, 5.9149023e+02
2.3808449e+02, 5.9462442e+02, 2.4323643e+02, 5.9603720e+02
2.6305325e+02, 5.7688155e+02, 2.6520474e+02, 5.7651365e+02
2.3434593e+02, 6.0231772e+02, 2.3431243e+02, 5.9866493e+02
2.6424126e+02, 5.6814672e+02, 2.6481356e+02, 5.6579379e+02
2.4736782e+02, 5.7300921e+02, 2.4736859e+02, 5.6936331e+02
2.5034852e+02, 6.1508216e+02, 2.5196824e+02, 6.1154448e+02
2.4863223e+02, 5.8878285e+02, 2.4920290e+02, 5.8678815e+02
2.3590598e+02, 6.1233228e+02, 2.3683212e+02, 6.0864405e+02
2.3461457e+02, 5.7461942e+02, 2.4491659e+02, 5.7573856e+02
2.3707763e+02, 6.1109469e+02, 2.4231967e+02, 5.9583849e+02
2.5437262e+02, 5.9005478e+02, 2.5499093e+02, 5.9267250e+02
2.3470851e+02, 5.9530567e+02, 2.3714507e+02, 5.9348813e+02
2.6379488e+02, 5.7902039e+02, 2.6378924e+02, 5.7674123e+02
2.5895421e+02, 5.9188660e+02, 2.6154423e+02, 5.9214870e+02
2.5328078e+02, 5.8595957e+02, 2.5377936e+02, 5.8366807e+02
2.5775124e+02, 6.1256644e+02, 2.6002519e+02, 6.1229078e+02
2.6003874e+02, 6.1498520e+02, 2.6063417e+02, 6.0730171e+02
2.4285423e+02, 5.8453687e+02, 2.4443427e+02, 5.8330534e+02
2.4287648e+02, 5.9788498e+02, 2.5018611e+02, 5.9222438e+02
2.6112534e+02, 5.7967499e+02, 2.6293163e+02, 5.7258076e+02
2.4793757e+02, 5.7382009e+02, 2.4996112e+02, 5.7359601e+02
2.3830116e+02, 5.7186414e+02, 2.4061165e+02, 5.7273439e+02
2.6481410e+02, 5.7417501e+02, 2.6475017e+02, 5.7019685e+02
2.5283500e+02, 5.6995714e+02, 2.5349133e+02, 5.7284666e+02
2.6347747e+02, 5.9219128e+02, 2.6612583e+02, 5.9187201e+02
2.6318456e+02, 5.9242324e+02, 2.6461457e+02, 5.9046182e+02
2.5581167e+02, 5.6754947e+02, 2.5878018e+02, 5.6843604e+02
2.4523891e+02, 6.0219282e+02, 2.4755557e+02, 5.9722980e+02
2.5489238e+02, 5.9928674e+02, 2.6012363e+02, 5.9762088e+02
2.6183934e+02, 5.8347244e+02, 2.6544404e+02, 5.8376096e+02
2.6398286e+02, 5.7908457e+02, 2.6550003e+02, 5.8286499e+02
2.5898086e+02, 5.6934669e+02, 2.6064762e+02, 5.6807788e+02
